id;timestamp;app_user_id;username;nome_completo;session_id;tabella;operazione;record_id;ip_address;db_user;dati_prima;dati_dopo
60343;2025-06-22 00:14:48;1;admin;Amministratore Sistema;5cb4ceec-b80b-4c7e-ba30-48d9df327bf7;comune;I;24;::1/128;postgres;;{'id': 24, 'nome': 'Albisola Mare', 'note': 'Prova', 'regione': 'Liguria', 'provincia': 'SV', 'periodo_id': 4, 'data_modifica': '2025-06-22T00:14:48', 'data_creazione': '2025-06-22T00:14:48', 'codice_catastale': 'A123', 'data_istituzione': '2000-01-01', 'data_soppressione': None}
60342;2025-06-20 00:56:33;1;admin;Amministratore Sistema;4a01dcec-1083-4c65-b324-86396b1b7c81;partita;U;5518;::1/128;postgres;{'id': 5518, 'tipo': 'principale', 'stato': 'attiva', 'comune_id': 14, 'data_chiusura': None, 'data_impianto': '2004-06-20', 'data_modifica': '2025-06-20T00:37:19', 'data_creazione': '2025-06-20T00:37:19', 'numero_partita': 1003, 'suffisso_partita': None, 'numero_provenienza': None};{'id': 5518, 'tipo': 'principale', 'stato': 'attiva', 'comune_id': 14, 'data_chiusura': None, 'data_impianto': '2004-06-20', 'data_modifica': '2025-06-20T00:56:33', 'data_creazione': '2025-06-20T00:37:19', 'numero_partita': 1003, 'suffisso_partita': None, 'numero_provenienza': None}
60339;2025-06-20 00:56:31;1;admin;Amministratore Sistema;4a01dcec-1083-4c65-b324-86396b1b7c81;immobile;I;30001;::1/128;postgres;;{'id': 30001, 'natura': 'Edificio Stress 1', 'partita_id': 11015, 'consistenza': '162 mq', 'localita_id': 109, 'numero_vani': None, 'numero_piani': None, 'data_modifica': '2025-06-20T00:56:31', 'data_creazione': '2025-06-20T00:56:31', 'classificazione': 'Classe Stress 3'}
60337;2025-06-20 00:56:31;1;admin;Amministratore Sistema;4a01dcec-1083-4c65-b324-86396b1b7c81;partita;I;11015;::1/128;postgres;;{'id': 11015, 'tipo': 'principale', 'stato': 'attiva', 'comune_id': 14, 'data_chiusura': None, 'data_impianto': '2004-06-20', 'data_modifica': '2025-06-20T00:56:31', 'data_creazione': '2025-06-20T00:56:31', 'numero_partita': 2, 'suffisso_partita': 'A', 'numero_provenienza': None}
60341;2025-06-20 00:56:31;1;admin;Amministratore Sistema;4a01dcec-1083-4c65-b324-86396b1b7c81;immobile;I;30003;::1/128;postgres;;{'id': 30003, 'natura': 'Edificio Stress 3', 'partita_id': 11015, 'consistenza': '226 mq', 'localita_id': 104, 'numero_vani': None, 'numero_piani': None, 'data_modifica': '2025-06-20T00:56:31', 'data_creazione': '2025-06-20T00:56:31', 'classificazione': 'Classe Stress 3'}
60340;2025-06-20 00:56:31;1;admin;Amministratore Sistema;4a01dcec-1083-4c65-b324-86396b1b7c81;immobile;I;30002;::1/128;postgres;;{'id': 30002, 'natura': 'Edificio Stress 2', 'partita_id': 11015, 'consistenza': '236 mq', 'localita_id': 110, 'numero_vani': None, 'numero_piani': None, 'data_modifica': '2025-06-20T00:56:31', 'data_creazione': '2025-06-20T00:56:31', 'classificazione': 'Classe Stress 2'}
60338;2025-06-20 00:56:31;1;admin;Amministratore Sistema;4a01dcec-1083-4c65-b324-86396b1b7c81;partita_possessore;I;11015;::1/128;postgres;;{'id': 11015, 'quota': None, 'titolo': 'proprieta esclusiva', 'partita_id': 11015, 'tipo_partita': 'principale', 'data_modifica': '2025-06-20T00:56:31', 'possessore_id': 1001, 'data_creazione': '2025-06-20T00:56:31'}
56583;2025-06-20 00:37:19;;;;;partita;I;10347;::1/128;postgres;;{'id': 10347, 'tipo': 'principale', 'stato': 'attiva', 'comune_id': 22, 'data_chiusura': None, 'data_impianto': '1988-06-20', 'data_modifica': '2025-06-20T00:37:19', 'data_creazione': '2025-06-20T00:37:19', 'numero_partita': 1434, 'suffisso_partita': None, 'numero_provenienza': None}
56584;2025-06-20 00:37:19;;;;;partita_possessore;I;10347;::1/128;postgres;;{'id': 10347, 'quota': None, 'titolo': 'proprieta esclusiva', 'partita_id': 10347, 'tipo_partita': 'principale', 'data_modifica': '2025-06-20T00:37:19', 'possessore_id': 1887, 'data_creazione': '2025-06-20T00:37:19'}
56585;2025-06-20 00:37:19;;;;;immobile;I;28300;::1/128;postgres;;{'id': 28300, 'natura': 'Edificio Stress 1', 'partita_id': 10347, 'consistenza': '143 mq', 'localita_id': 190, 'numero_vani': None, 'numero_piani': None, 'data_modifica': '2025-06-20T00:37:19', 'data_creazione': '2025-06-20T00:37:19', 'classificazione': 'Classe Stress 4'}
